"Checkbox","Secteur_activite","Forme_juridique","Code_Activite_Compte","Libelle_Activite_Compte","Code_Centre","Libelle_Centre","Code_Region","Libelle_Region","Poste_Itinerant","Code_Nature","Libelle_Nature","Code_Nature_juridique_Client","Libelle_Nature_juridique_Client","Critere_SLA","Activite_Batiment","icone","Symptome_Reference","Parametre_Contrat_Type","Limite_Contrat_Type","Code_Domaine","Libelle_Domaine","Code_Sous-domaine","Libelle_Sous-domaine","Contractuel","Importance_Equipement","Criticite_Demande","Priorite_Espace","Code_Titre","Libelle_Titre","Langue","Outil_Energies","Code_Occupation","Libelle_Occupation ","Type_Operation","Zone_Astreinte","Type_Prestations_FM","Classification_Site","Statut_Equipement","Etat_Fonctionnement","Etat_Sante","Origine","Territoire","Maintenance_Type","Code_Sous_Famille","Libelle_Sous_Famille","Code_Famille","Libelle_Famille"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.30.CPU.CIN","Cintres pucés","060.20.REC","Réchauffeur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.30.RMO.RAY","Rayonnage mobile","060.20.RES","Réseaux"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.30.SDI.STO","Stockage divers","060.20.SMT","Sorties"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.30.SDY.STO","Stockage dynamique sur plateaux","060.20.SUR","Surpresseurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.30.SLN.STO","Stockage linge","060.20.THE","Thermomètres"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.30.STG.STO","Stockage des galettes","060.20.VEP","Vases d'expansion"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.30.ZTR.ZON","Zone de tri","060.20.VPU","Vannes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.40.GAL.GOU","Goulottes d'alimentation","060.30.BAG","Baignoires"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","050.10.BUM.BUM","Bumper","060.30.BEV","Bacs et éviers"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","050.10.LPA.LOG","Logiciels Process Archives","060.30.BSA","Blocs sanitaires"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","050.10.PMU.PRO","Protection Murale","060.30.DOU","Douches"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","050.10.RAK.RAC","Rack","060.30.LMA","Lave mains"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","052.10.AIP.AIG","Aiguillage","060.30.PRI","Préparateurs instantanés (petits ballons élec.)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","052.10.CHG.CHA","Chargeurs","060.30.RAO","Raccordements (alimentation"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","052.10.GAP.GAR","Gares","060.30.ROB","Robinets"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","052.10.RPN.RES","Réseaux","060.30.SBS","Siphons Blocs Sanitaires"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","052.10.SAR.STA","Station d'arrivée","060.30.VAN","Vannes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","052.10.STD.STA","Station de départ","060.30.WCS","WC Sanitaires"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","052.10.TOP.TOR","Tortues","060.40.AEJ","Aéro-éjecteurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","052.10.TUR.TUR","Turbine","060.40.AUT","Automatisme plomberie"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","052.20.GER.GER","Gerbeur","060.40.DES","Descentes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","052.20.SCA.STA","Station de carburant","060.40.REL","Station de relevage (pompes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","052.30.CGR.CHA","Chargeurs","060.40.RGD","Regards"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","052.30.GAR.GAR","Gares","060.40.SEP","Stations d'épuration"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","052.30.TOR.TOR","Tortues","060.40.SGR","Séparateurs à graisse"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","052.40.LTA.LOC","Locomotive Tracteur","060.40.SHY","Séparateurs d'hydrocarbure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","052.40.RAI.RAI","Rails","060.40.SIP","Siphons"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","054.10.OGM.OUT","Outil de gestion du matériel","060.50.ADO","Adoucisseurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","054.20.CHE.CHA","Chariot élévateur","060.50.BSE","Bacs à sel"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","054.20.RAY.RAY","Rayonnage mobile (à rouleau...)","060.50.DEG","Système de dégazage"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","054.20.RMA.RAC","Rack magasin","060.50.EBM","Eau biologiquement maitrisée"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","054.20.RPA.RAY","Rayonnage palette","060.50.GUV","Générateur d'UV"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","054.20.TRP.TRA","Transpalette","060.50.OSM","Osmoseur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.10.CRD.CON","Contrôle réglementaire Disconnecteurs","060.50.PDO","Pompes doseuses"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.10.CSO.COM","Compteurs et Sous compteurs Alimentation Eau","060.50.PIS","Piscine"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.10.DIS.DIS","Disconnecteur","060.50.SCL","Station chlore"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.10.FAC.FIL","Filtres à cartouches","060.50.TEA","Traitement d'eau"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.10.RDP.RED","Réducteur de pression","060.60.ASS","Assécheurs d'air"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.10.VAC.VAN","Vannes et accessoires","060.60.BDA","Ballon d'air"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.ACG.ACC","Accumulateurs gaz","060.60.COD","Compresseurs d'air"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.BAC.BAC","Bâches","060.60.CRU","Contrôle réglementaire air comprimé"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.BAK.BAC","Bâches de stockage","060.60.CUC","Cuves d'Air Comprimé"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.BCP.BAL","Ballon casse pression","060.60.DAC","Déshuileurs air comprimé"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.BEL.BA1","Ballon Ecs > 200L","060.60.FPV","Filtres pompes à vide"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.BEL.BA2","Ballon Ecs 1000-4000L","060.60.PPV","Pompe à vide"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.BME.ECH","Eau chaude","060.60.RCO","Compresseurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.BME.EGL","Eau glacée","060.60.REC","Récupérateur à condensat"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.BOT.BOU","Bouteille d'équilibrage","062.10.CDD","Cabine de décontamination"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.BST.CAT","Eau chaude avec trappe de visite","062.10.CEP","Contrôle réglementaire EPI/EPC"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.BST.CST","Eau chaude sans trappe de visite","062.10.CRS","Contrôle règlementaire des Moyens de Secours"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.BST.GAT","Eau glacée avec trappe de visite","062.10.DCU","Douche oculaire"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.BST.GST","Eau glacée sans trappe de visite","062.10.DDA","Douche à air"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.BTA.CAT","Eau chaude avec trappe de visite","062.10.DDD","Douche de décontamination"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.BTA.CST","Eau chaude sans trappe de visite","062.10.DSU","Douche de sécurité d'urgence"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.BTA.GAT","Eau glacée avec trappe de visite","062.10.MAC","Contrôle rég machines dangereuses"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.BTA.GST","Eau glacée sans trappe de visite","070.10.ASC","Ascenseurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.CAN.CLA","Clapet Anti-retour (Disconnecteur)","070.10.CRA","Contrôle réglementaire Appareils élévateurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.CAP.CLA","Clapets anti-pollution","070.10.ERO","Escaliers roulants"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.CCH.COR","Cordons chauffants","070.10.MCH","Monte-charges"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.CRB.CON","Contrôle réglementaire Appareil sous pression","070.10.MMA","Monte-malades"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.CRO.COL","Contrôle réglementaire Eau Légionelle","070.10.MVE","Monte-véhicules"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.CRO.COP","Contrôle réglementaire Eau Potabilité","070.10.NAC","Nacelles"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.CSD.COM","Compteurs et Sous compteurs Distribution eau","070.10.NIV","Niveleurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.DEN.ECH","Eau chaude","070.10.PHA","Plateformes handicapées"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.DEN.EFR","Eau froide","080.10.CRP","Contrôle réglementaire Portes automatiques"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.EPL.PLA","A plaque","080.10.PAV","Porte automatiques à vantaux"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.EPL.TUB","Tubulaire","080.10.PIA","Portes intérieures automatiques (serv hospitalier)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.EPL.VAP","Vapeur","080.10.PPA","Porte de parking"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.FAS.FIL","Filtres à sable","080.10.PPH","Porte principales de hall (tambour…)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.FCR.FIL","Filtres à cartouches","080.10.PPI","Plateforme pivotante"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.FEV.FIL","Filtres Electrovannes","080.10.PRL","Porte à enroulement"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.FMP.ECH","Eau chaude","080.10.PSA","Porte sectionnelle automatique"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.FMP.EGL","Eau glacée","080.20.PTA","Portail"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.FTM.FIL","Filtre à tamis distribution eau","080.20.PTI","Portillon"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.ITA.INJ","Injecteur de Traitement anti boue","080.30.BLE","Barrière levante"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.MPR.MAN","Manomètres de pression","080.30.PSC","Plot escamotable"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.OPR.ORG","Organes de prélèvements","080.40.RIM","Rideaux métalliques"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.PBP.POT","Pots à boue","100.10.CHB","Chambres"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.PCI.CDO","Chaud - Double","100.10.DOC","Douche chambre"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.PCI.CSI","Chaud - Simple","100.10.EXC","Extraction chambre"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.PCI.FDO","Froid - Double","100.10.FEN","Fenêtres"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.PCI.FSI","Froid - Simple","100.10.LAB","Lavabo chambre"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.PGS.POM","Bache","100.10.LUM","Luminaires"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.PRE.PUR","Purgeurs réseaux","100.10.MUR","Murs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.REC.COR","Cordon chauffant","100.10.PRC","Prise chambre"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.REC.ELE","Electrique","100.10.SOL","Sols"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.RES.EAU","E.U./E.P.","100.10.STO","Stores"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.RES.ECS","ECS","100.10.VEC","Ventilo-convecteurs type CH"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.RES.EDV","EDV","100.10.WCC","WC chambre"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.RES.GCH","Eau glacée/Eau chaude","100.20.LOG","Loges"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.SMT.SOR","Sorties","200.10.DDR","Dératisation - Désinfection - Désinsectisation"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.SUR.SUR","Surpresseurs","200.10.FOU","Fournitures sanitaires"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.THE.THE","Thermomètres","200.10.NET","Nettoyage Locaux"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.VEP.VAS","Vases d'expansion","200.10.NPV","Nettoyage par le vide"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.20.VPU.VAN","Vannes","200.10.SLA","Station Lavage"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.30.BAG.BAI","Baignoires","210.10.GDE","Gestion des déchets"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.30.BEV.BAC","Bacs et éviers","210.10.RBE","Rotation des bennes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.30.BSA.CLA","Classique - Robinet","210.10.TLH","Tunnel de lavage chariot"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.30.BSA.MOT","Motorisé - Robinet","210.10.TRR","Tracteur conteneur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.30.BSA.PMR","PMR - Robinet","300.10.ARG","Arrosage"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.30.DOU.DOU","Douches","300.10.DER","Dératisarion"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.30.LMA.LAV","Lave mains","300.10.EFL","Eléments floraux"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.30.PRI.PRE","Préparateurs instantanés (petits ballons élec.)","300.10.HIN","Hôtel à insectes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.30.RAO.RAC","Raccordements (alimentation","300.10.MVG","Mur Végétal"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.30.ROB.ROB","Robinets","300.10.NEV","Nettoyage Espaces Verts"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.30.SBS.SIP","Siphons Blocs Sanitaires","300.10.TAI","Tailles"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.30.VAN.VAN","Vannes","300.10.TON","Tontes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.30.WCS.WC","WC Sanitaires","400.10.ARM","Armoires"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.40.AEJ.AER","Aéro-éjecteurs","400.10.BJG","Bar Loges"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.40.AUT.AUT","Automatisme plomberie","400.10.BQA","Banques d'acceuil"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.40.DES.DES","Descentes","400.10.BRD","Brancard"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.40.REL.1PP","1 pompe","400.10.BUR","Bureaux"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.40.REL.2PP","2 pompes","400.10.CHI","Chaises"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.40.RGD.REG","Regards","400.10.CSR","Casiers"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.40.SEP.STA","Stations d'épuration","400.10.DFB","Défibrilateurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.40.SGR.SEP","Séparateurs à graisse","400.10.ESP","Equipements de sport"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.40.SHY.SEP","Séparateurs d'hydrocarbure","400.10.EST","Estrade"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.40.SIP.SIP","Siphons","400.10.FAU","Fauteuils"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.50.ADO.ADO","Adoucisseurs","400.10.GUE","Guéridon"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.50.BSE.BAC","Bacs à sel","400.10.LEP","Lampe d'examen sur pied"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.50.DEG.SYS","Système de dégazage","400.10.MCP","Marchepieds"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.50.EBM.EAU","Eau biologiquement maitrisée","400.10.PAP","Pied à perfusion"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.50.GUV.GEN","Générateur d'UV","400.10.PDT","Plan de travail"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.50.OSM.OSM","Osmoseur","400.10.POU","Poubelles"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.50.PDO.POM","Pompes doseuses","400.10.PRM","Porte manteau"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.50.PIS.PIS","Piscine","400.10.PUP","Pupitres"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.50.SCL.STA","Station chlore","400.10.PVE","Parevent"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.50.TEA.TRA","Traitement d'eau","400.10.RFG","Réfrigérateurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.60.ASS.ASS","Assécheurs d'air","400.10.RNG","Rayonnages"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.60.BDA.BAL","Ballon d'air","400.10.SDR","Salles de Réunions"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.60.COD.COM","Compresseurs d'air","400.10.SIG","Signalitique"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.60.CRU.CON","Contrôle réglementaire Air comprimé","400.10.TBL","Tables"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.60.CUC.CUV","Cuves d'Air Comprimé","400.10.TBM","Tableau mural"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.60.DAC.DES","Déshuileurs air comprimé","400.10.TMS","Tables de massage"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.60.FPV.FIL","Filtres pompes à vide","400.10.TSO","Tables de soins"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.60.PPV.POM","Pompe à vide","400.10.VES","Vestiaires"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.60.RCO.COM","Compresseurs","400.20.BAD","Box d'admission"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","060.60.REC.REC","Récupérateur à condensat","400.20.CAI","Cabines"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","062.10.CDD.CAB","Cabine de décontamination","400.20.COA","Comptoirs d'accueil"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","062.10.CEP.CON","Contrôle réglementaire EPI/EPC","400.20.COR","Comptoirs de réception"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","062.10.CRS.CON","Contrôle règlementaire des Moyens de Secours","400.20.ECL","Echelle"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","062.10.DCU.DOU","Douche oculaire","400.20.GVI","Guichets vitrés"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","062.10.DDA.DOU","Douche à air","400.20.SEC","Secrétariats"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","062.10.DDD.DOU","Douche de décontamination","400.20.SGA","Sièges gradins"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","062.10.DSU.DOU","Douche de sécurité d'urgence","400.30.DIT","Distributeurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","062.10.MAC.CON","Contrôle rég machines dangereuses","400.30.FOT","Fontaines"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","070.10.ASC.ELE","Electrique","400.40.ECR","Ecrans…"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","070.10.ASC.HAN","Plateforme handicapé","400.40.IMP","Imprimantes / Photocopieurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","070.10.ASC.HYD","Hydraulique","400.40.ORD","PC"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","070.10.ASC.PLA","Plateforme élévatrice","400.50.LIT","Literie"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","070.10.CRA.CON","Contrôle réglementaire Appareils élévateurs","400.50.MIR","Miroir"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","070.10.ERO.ESC","Escaliers roulants","410.10.MEX","Métallerie extérieure (mains courantes…)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","070.10.MCH.ELE","Electrique","410.10.MIN","Métallerie intérieure (mains courantes…)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","070.10.MCH.HYD","Hydraulique","410.20.CMO","Cloisons mobiles"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","070.10.MMA.MON","Monte-malades","410.20.FAG","Façade de gaine"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","070.10.MVE.MON","Monte-véhicules","410.20.HAB","Habillage bois (finition)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","070.10.NAC.NAC","Nacelles","410.20.PLC","Placards"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","070.10.NIV.NIV","Niveleurs","410.20.POR","Portes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","070.10.PHA.PLA","Plateformes handicapées","410.20.SEU","Serrurerie"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","080.10.CRP.CON","Contrôle réglementaire Portes automatiques","410.20.TAB","Tablettes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","080.10.PAV.POR","Porte automatiques à vantaux","410.20.TAC","Trappes d'accès"
