"Checkbox","Secteur_activite","Forme_juridique","Code_Activite_Compte","Libelle_Activite_Compte","Code_Centre","Libelle_Centre","Code_Region","Libelle_Region","Poste_Itinerant","Code_Nature","Libelle_Nature","Code_Nature_juridique_Client","Libelle_Nature_juridique_Client","Critere_SLA","Activite_Batiment","icone","Symptome_Reference","Parametre_Contrat_Type","Limite_Contrat_Type","Code_Domaine","Libelle_Domaine","Code_Sous-domaine","Libelle_Sous-domaine","Contractuel","Importance_Equipement","Criticite_Demande","Priorite_Espace","Code_Titre","Libelle_Titre","Langue","Outil_Energies","Code_Occupation","Libelle_Occupation ","Type_Operation","Zone_Astreinte","Type_Prestations_FM","Classification_Site","Statut_Equipement","Etat_Fonctionnement","Etat_Sante","Origine","Territoire","Maintenance_Type","Code_Sous_Famille","Libelle_Sous_Famille","Code_Famille","Libelle_Famille"
"","","","","","Agence AMT - Nice (G6NI)","Agence AMT - Nice (G6NI)","","","","","","","","","","","","","","","","200.10","","","","","","","","","","","","","Z48","","","","","","","","","010.30.AER.BEF","Bouche EF","010.30.CRE","Contrôle réglementaire de l'air"
"","","","","","Agence AMT - Marseille (G6MP)","Agence AMT - Marseille (G6MP)","","","","","","","","","","","","","","","","210.10","","","","","","","","","","","","","Z49","","","","","","","","","010.30.AER.ELE","Electrique","010.30.CRV","Boitier chaud / froid VRV"
"","","","","","Agence AMT - Lyon 2 (G3L2)","Agence AMT - Lyon 2 (G3L2)","","","","","","","","","","","","","","","","300.10","","","","","","","","","","","","","Z50","","","","","","","","","010.30.AER.GAZ","Gaz","010.30.CTA","Centrales d'air"
"","","","","","Agence AMT - Dauphiné Savoie (G3DS)","Agence AMT - Dauphiné Savoie (G3DS)","","","","","","","","","","","","","","","","400.10","","","","","","","","","","","","","Z51","","","","","","","","","010.30.AER.VAP","Vapeur","010.30.DHU","Déshumidificateurs"
"","","","","","Agence AMT - Lyon 1 (G3L1)","Agence AMT - Lyon 1 (G3L1)","","","","","","","","","","","","","","","","400.20","","","","","","","","","","","","","Z52","","","","","","","","","010.30.BAI.BRA","Brasseur d'air","010.30.EJV","Ejecto-convecteurs"
"","","","","","Agence AMT - Montpellier (G3MP)","Agence AMT - Montpellier (G3MP)","","","","","","","","","","","","","","","","400.30","","","","","","","","","","","","","Z53","","","","","","","","","010.30.BCH.BAT","Batteries terminales de chauffage","010.30.EVP","Evaporateurs"
"","","","","","Agence AMT - Toulouse (G3TL)","Agence AMT - Toulouse (G3TL)","","","","","","","","","","","","","","","","400.40","","","","","","","","","","","","","Z54","","","","","","","","","010.30.BDE.DCC","Débit constat Batterie chaude fluide","010.30.EXT","Extraction"
"","","","","","","","","","","","","","","","","","","","","","","400.50","","","","","","","","","","","","","Z55","","","","","","","","","010.30.BDE.DCE","Débit constat Batterie élec","010.30.FIL","Filtration"
"","","","","","","","","","","","","","","","","","","","","","","410.10","","","","","","","","","","","","","Z56","","","","","","","","","010.30.BDE.DVC","Débit variable Batterie chaude fluide","010.30.FTI","Filtre à Tamis traitement air"
"","","","","","","","","","","","","","","","","","","","","","","410.20","","","","","","","","","","","","","Z57","","","","","","","","","010.30.BDE.DVE","Débit variable Batterie élec","010.30.GAI","Gaines"
"","","","","","","","","","","","","","","","","","","","","","","410.30","","","","","","","","","","","","","Z58","","","","","","","","","010.30.BEG.BAT","Batteries terminales eau glacée","010.30.HEL","Héliothermes"
"","","","","","","","","","","","","","","","","","","","","","","410.40","","","","","","","","","","","","","Z59","","","","","","","","","010.30.BOU.BOU","Bouches","010.30.HUM","Humidificateurs"
"","","","","","","","","","","","","","","","","","","","","","","410.50","","","","","","","","","","","","","Z60","","","","","","","","","010.30.BRC.BAT","Batterie récupération / Récupérateur","010.30.LAA","Laveurs d'air"
"","","","","","","","","","","","","","","","","","","","","","","410.60","","","","","","","","","","","","","","","","","","","","","","010.30.CAL.CAL","Calorifuges","010.30.MOD","Moduline"
